,loss,localization_loss,classification_loss,localization_mean_squared_error,classification_accuracy,val_loss,val_localization_loss,val_classification_loss,val_localization_mean_squared_error,val_classification_accuracy
24,2.9628997008893743,5.448091506958008,0.23885345458984375,549.5701293945312,0.9237080812454224,3.124254826576479,5.818243503570557,0.21513308584690094,708.94091796875,0.9334677457809448
25,2.938528595023981,5.430353164672852,0.2233525514602661,535.3240966796875,0.9292073845863342,3.148656660510648,5.863722801208496,0.21679575741291046,714.68798828125,0.9334677457809448
26,2.907242749656379,5.375880241394043,0.2193024456501007,519.57177734375,0.9315642714500427,2.9718462190320416,5.554863452911377,0.1944144368171692,631.7160034179688,0.9334677457809448
27,2.898439866870475,5.394887447357178,0.20099668204784393,522.0662231445312,0.9383729100227356,3.0683219817376908,5.780913352966309,0.17786535620689392,693.292236328125,0.9390121102333069
28,2.8489688215309017,5.32255220413208,0.187693253159523,494.4585266113281,0.9389839172363281,3.071702595679991,5.804417133331299,0.1694938987493515,706.4769897460938,0.9470766186714172
29,2.8486138988473564,5.3048930168151855,0.1961670070886612,492.87347412109375,0.9364525079727173,3.037659199007096,5.726291656494141,0.17451298236846924,668.8812255859375,0.9405242204666138
30,2.832995166991676,5.328731060028076,0.16862927377223969,499.8617248535156,0.9451815485954285,2.963424574944281,5.594398021697998,0.16622568666934967,632.3170166015625,0.9475806355476379
31,2.813111354518869,5.292466640472412,0.16687878966331482,485.25701904296875,0.947538435459137,2.955388892081476,5.551168918609619,0.17980417609214783,628.911865234375,0.9450604915618896
32,2.79690839591639,5.289112567901611,0.15235306322574615,484.6378173828125,0.9499825239181519,2.9030076765245005,5.514678478240967,0.1456686556339264,623.00341796875,0.9506048560142517
33,2.8051499028445623,5.268823623657227,0.170738086104393,478.26068115234375,0.9422137141227722,2.9398863930856027,5.5415496826171875,0.16911154985427856,624.8135986328125,0.9415322542190552
34,2.7726227850887364,5.25339937210083,0.1459226906299591,472.39569091796875,0.950157105922699,2.9257168846745647,5.485476016998291,0.1829790323972702,596.1498413085938,0.9410282373428345
35,2.7613064896461017,5.242661952972412,0.13997530937194824,470.2679443359375,0.9553945660591125,2.938511671558503,5.554163932800293,0.1614300012588501,612.926025390625,0.9480846524238586
36,2.771025302023861,5.262446880340576,0.1398029327392578,465.66607666015625,0.9534741640090942,3.097953781004875,5.827714920043945,0.1840963214635849,710.75341796875,0.9410282373428345
37,2.724228043795964,5.1965861320495605,0.12593607604503632,453.5323486328125,0.9588861465454102,2.960131299111151,5.645075798034668,0.1375933438539505,652.0684204101562,0.9541330933570862
38,2.7492601059002584,5.220511436462402,0.1390034407377243,460.9386901855469,0.954434335231781,3.050941075048139,5.81270694732666,0.14458738267421722,698.3861083984375,0.9541330933570862
39,2.704103708267212,5.176235198974609,0.11598574370145798,442.0031433105469,0.9608938694000244,2.9416422767023884,5.644655704498291,0.11931489408016205,654.3156127929688,0.9591733813285828
40,2.712397308988944,5.167652130126953,0.12857112288475037,435.6329040527344,0.9567912220954895,2.9423015194554485,5.644979476928711,0.11981187760829926,646.6016235351562,0.9596773982048035
